X,Y,TEMA,SURVEY,SYMBOLNUMB,OBJECTID
-5.81360722180028,54.8500109028795,PRINC_STAT,20020320,319,1
-5.81396723997857,54.8502189830942,PRINC_STAT,0,319,2
-5.67218235271405,54.6586937339707,PRINC_STAT,20020701,319,3
-6.04573743730625,54.5140151682466,PRINC_STAT,20030601,319,4
-5.92183303544467,54.6122285836955,PRINC_STAT,20020701,319,5
-5.91727737068035,54.5949467012953,PRINC_STAT,20020701,319,6
-5.93857881709887,54.5944612262075,PRINC_STAT,20020701,319,7
-6.28492671273304,54.8642415469185,PRINC_STAT,20020320,319,8
-6.21146242430678,54.7181451830348,PRINC_STAT,0,319,9
-6.33774784255982,54.4674178354751,PRINC_STAT,20030601,319,10
-6.44297003818182,54.426325816315,PRINC_STAT,20030601,319,11
-6.65364318602009,55.203595325638,PRINC_STAT,20030113,319,12
-6.51353637452959,55.0667139877279,PRINC_STAT,20030113,319,13
-6.66213770732242,55.1334643791886,PRINC_STAT,20030113,319,14
-7.31367858352175,54.9919803392446,PRINC_STAT,20040709,319,15
-5.79881332759227,54.8482376958956,STATION,0,318,16
-5.76671775356133,54.8154185156019,STATION,0,318,17
-5.80702344516464,54.8269739268034,STATION,20020320,318,18
-5.69278523964232,54.6594330575444,STATION,20020701,318,19
-5.7055718821851,54.6660645787731,STATION,20020701,318,20
-5.72163825581668,54.6637210816987,STATION,20020701,318,21
-5.73998271663662,54.6661193669316,STATION,20020701,318,22
-5.76760754670629,54.6610257976615,STATION,20020701,318,23
-5.8046424599092,54.6524687108949,STATION,20020701,318,24
-5.80957041442226,54.7176244148013,STATION,20020701,318,25
-5.81648560436204,54.7175580922902,STATION,20020701,318,26
-5.78989956657696,54.7211987780083,STATION,20020701,318,27
-5.70960934819312,54.7527564621834,STATION,20020701,318,28
-5.72548898331754,54.7765978267251,STATION,20020701,318,29
-5.81742745657061,54.6470971895915,STATION,20020701,318,30
-5.90436428165879,54.6729760551291,STATION,20020701,318,31
-5.89532941926203,54.6869645529031,STATION,20020701,318,32
-5.87324643309507,54.7002103858918,STATION,20020701,318,33
-5.84870467098295,54.7105239850022,STATION,20020701,318,34
-5.9518973168349,54.6969647732949,STATION,20050802,318,35
-6.00259024401802,54.5535821859551,STATION,20030601,318,36
-6.0180351469136,54.5417847566296,STATION,20030601,318,37
-6.02933156555173,54.5300152402713,STATION,20030601,318,38
-6.02916389867497,54.5227382928367,STATION,20030601,318,39
-6.06776667360842,54.5113349989894,STATION,20030601,318,40
-5.9860147869659,54.5640771217982,STATION,20020701,318,41
-5.97008836844899,54.5680571505883,STATION,20020701,318,42
-5.95528375710813,54.5782213634834,STATION,20020701,318,43
-5.93225750533476,54.5884807776461,STATION,20020701,318,44
-5.90778527916031,54.6016730215464,STATION,20020701,318,45
-5.89484289368664,54.6029848918147,STATION,20020701,318,46
-5.88520554896126,54.6054823268627,STATION,20020701,318,47
-5.87657574928347,54.6094427720363,STATION,20020701,318,48
-5.83970920264094,54.6410604466537,STATION,20020701,318,49
-5.94024155080485,54.5887923668213,STATION,20020701,318,50
-6.34434959300251,54.8882248295943,STATION,19990719,318,51
-6.21316988119286,54.4922188867939,STATION,20030601,318,52
-6.20349480993998,54.5443199977623,STATION,20030601,318,53
-6.21175217508224,54.6211702890394,STATION,0,318,54
-6.21493907040912,54.5888550628158,STATION,20000503,318,55
-6.36624989149726,54.332552419861,STATION,20030601,318,56
-6.36295737815015,54.1890018757124,STATION,20040906,318,57
-6.52872057621191,55.206871098246,STATION,20030113,318,58
-6.51683137496758,55.2323080882514,STATION,20030113,318,59
-6.66128268796907,55.196288886155,STATION,20030113,318,60
-6.66820127971985,55.15047738875,STATION,20030113,318,61
-6.95176781291402,55.1266484483511,STATION,20030113,318,62
-6.78686819636577,55.1651011321478,STATION,20030113,318,63
