objectid,perimeter,zone,sectors,anno
1,35539.60335279,1,6,1-6
2,45822.414,6,5,6-5
3,47025.13526345,4,5,4-5
4,15420.97173789,2,6,2-6
5,41313.60022205,6,2,6-2
6,42523.08283676,4,3,4-3
7,26113.23742077,3,6,3-6
8,11648.77098765,2,8,2-8
19,32708.83735251,5,4,5-4
9,37667.1590648,3,3,3-3
10,87456.36633267,4,7,4-7
11,23594.77600555,3,4,3-4
20,13583.05299357,5,7,5-7
12,45996.31420738,6,7,6-7
13,23349.98864851,5,5,5-5
14,33968.42674753,1,3,1-3
15,39892.409,3,7,3-7
16,61785.642,6,4,6-4
24,14635.46589153,2,2,2-2
17,45720.29427639,5,3,5-3
18,37209.05784652,2,9,2-9
21,42504.92854526,1,2,1-2
22,30398.34125725,1,1,1-1
23,44126.99491486,4,4,4-4
25,15739.44453983,2,5,2-5
26,14529.85923406,2,1,2-1
27,18211.88139548,2,4,2-4
28,16492.24793044,2,7,2-7
29,40624.181,6,6,6-6
43,28902.91903975,5,1,5-1
30,28086.36448544,5,7,5-7
31,40353.56626964,4,1,4-1
32,28618.02925366,1,4,1-4
33,18704.14618409,5,8,5-8
34,19498.09317011,5,2,5-2
35,22408.1582859,1,5,1-5
36,20902.67902715,5,6,5-6
37,8998.42303171,1,7,1-7
38,29775.66506957,1,7,1-7
39,33001.41182164,2,3,2-3
40,13292.97031153,1,2,1-2
46,45822.414,6,3,6-3
41,61785.642,6,1,6-1
42,28510.69635441,4,2,4-2
44,29382.66201791,3,1,3-1
45,39928.93975813,4,6,4-6
47,45996.31420738,3,2,3-2
48,0,3,5,3-5
