objectid,pghdbsdeLandslide_Pronearea,perimeter,landslid_,landslid_i,code,acres,sqmiles
1,39699313.631035,119881.12085817,2,37,p,911.371,1.424
2,31429225.665259,110063.0151829,3,30,p,721.516,1.127
3,834469.95400348,4699.1703451,4,32,p,19.157,0.03
4,1077809.7700588,13405.2031183,7,9,p,24.743,0.039
6,10738419.732139,59364.29810819,9,7,p,246.52,0.385
7,417559.49441535,2911.49604919,10,5,p,9.586,0.015
8,169876.93018361,2593.45634354,11,6,p,3.9,0.006
9,4870502.8328553,39007.57094654,13,3,p,111.811,0.175
5,19762956.522348,103794.36146938,8,8,p,453.695,0.709
10,3682433.6907613,19646.04669494,14,31,p,84.537,0.132
11,72036.71336429,1227.27889856,15,4,p,1.654,0.003
12,597201.38754068,6205.30205638,16,34,p,13.71,0.021
13,272089.94890081,2590.86229805,17,33,p,6.246,0.01
14,241109.96259374,3685.23881936,19,36,p,5.535,0.009
15,1886842.1505766,16863.7252652,21,35,p,43.316,0.068
16,24777616.013463,126100.77332168,22,24,p,568.816,0.889
17,1935050.8623832,14959.91918071,23,22,p,44.423,0.069
34,532310.4258094,4518.133967,41,1,p,12.22,0.019
18,1689104.6792941,18260.86865341,24,11,p,38.777,0.061
19,22518519.108698,72229.6120868,25,10,p,516.954,0.808
20,584961.55296811,5898.40646302,27,23,p,13.429,0.021
21,366625.30263904,5572.12585762,28,29,p,8.417,0.013
22,45938671.595224,149761.98472724,29,2,p,1054.607,1.648
23,5241479.7941199,46847.51331485,30,12,p,120.328,0.188
24,7541034.3451308,42293.94870917,31,13,p,173.118,0.27
31,3911807.7165716,22013.5257618,38,28,p,89.803,0.14
35,866702.73128405,9889.07142934,42,18,p,19.897,0.031
25,8972818.1917113,40990.15393306,32,16,p,205.988,0.322
26,8733023.9563459,53577.13207019,33,17,p,200.483,0.313
27,8381500.8736208,40792.34372572,34,25,p,192.413,0.301
28,8103961.2521226,44161.51074455,35,26,p,186.041,0.291
32,4945691.749716,16895.73709945,39,15,p,113.537,0.177
29,22887674.553926,83709.2291253,36,14,p,525.429,0.821
30,2161441.0526388,13696.81606415,37,27,p,49.62,0.078
33,4059882.0523237,19358.50193667,40,19,p,93.202,0.146
36,9428644.6697357,42631.10895067,43,20,p,216.452,0.338
37,12225066.931553,36743.19275757,44,21,p,280.649,0.439
