objectid_1,objectid,pghdbsdeGreenwayarea,perimeter,greenway_,greenway_i,name,acres,sqmiles,nhood,dpwdiv,shape_leng,date_resol
1,2,2361330,21532.09960938,7,1,SPRING HILL/SPRING GARDEN,54.20893097,0.08470146, ,0,21532.104694,6/29/1981
2,17,2679890,28271.5,1,3,DUQUESNE HEIGHTS,61.52201462,0.09612815, ,0,28271.4651401,9/17/1984
3,23,5650180,31202,0,4,BEECHVIEW-SELDOM SEEN,129.71073914,0.20267303, ,0,31202.0456526,7/15/1985
6,0,3136220,26922,4,6,MOORE,71.99794769,0.11249679, ,0,26922.0176189,10/20/2006
4,25,5815600,41209.8984375,3,2,HAZELWOOD,139.27752686,0.21762115, ,0,41209.8857304,3/28/1983
5,47,559893,18576.30078125,6,7,PERRY SOUTH,12.85343266,0.02008349, ,0,18576.3430879,3/2/2010
7,0,1335410,21972.09960938,2,5,FAIRHAVEN,30.656847,0.04790132, ,0,21972.1188073,10/20/2006
8,24771,779360,22591.5,5,8,OBSERVATORY HILL HOLLOWS,18.08963585,0.02826506, ,0,22591.5180128,11/3/2010
12,,196935.953125,3822.36108398,,12,NINE MILE RUN,4.52104568,0.00706413,,0,,5/11/2012
9,0,1521790,24508,0,9,ALLEGHENY RIVER,34.93568802,0.05458701, ,0,24508.0271153,3/8/2011
10,0,219760,6321.64990234,0,10,OAKCLIFFE,5.04501343,0.00788283, ,0,6321.64819273,4/6/2011
11,0,2074955,55200.765625,0,11,BIGELOW,47.63460159,0.07442906,,0,721.50023961,5/11/2012
