PC_NAME,Area_sqkm,PC_ID,OBJECTID
BELFAST EAST,55.1596731586,N06000001,1
BELFAST NORTH,50.4549100725,N06000002,2
BELFAST SOUTH,44.9819712846,N06000003,3
BELFAST WEST,44.8111497605,N06000004,4
EAST ANTRIM,593.82774729,N06000005,5
EAST LONDONDERRY,1275.67323249,N06000006,6
FERMANAGH AND SOUTH TYRONE,2506.61380947,N06000007,7
FOYLE,183.602263455,N06000008,8
LAGAN VALLEY,468.250617729,N06000009,9
MID ULSTER,1347.45949503,N06000010,10
NEWRY AND ARMAGH,1082.57725071,N06000011,11
NORTH ANTRIM,1386.59745736,N06000012,12
NORTH DOWN,115.515330483,N06000013,13
SOUTH ANTRIM,785.614372888,N06000014,14
SOUTH DOWN,1250.07841628,N06000015,15
STRANGFORD,656.150835397,N06000016,16
UPPER BANN,479.335850587,N06000017,17
WEST TYRONE,1991.54514236,N06000018,18
